elision_file,unoptimized_hir,optimized_hir,unoptimized_mir,optimized_mir,llvm_ir,osdi,drop_unoptimized_hir_to_optimized_hir_pct,drop_optimized_hir_to_unoptimized_mir_pct,drop_unoptimized_mir_to_optimized_mir_pct,drop_optimized_mir_to_llvm_ir_pct,drop_llvm_ir_to_osdi_pct,drop_unoptimized_hir_to_osdi_pct
sky130_fd_pr__pfet_01v8__model_bin_000.txt,9236,9236,76,951,34081,53234,0.0,99.17713295799048,-1151.3157894736842,-3483.701366982124,-56.198468354801804,-476.3750541359896
sky130_fd_pr__pfet_01v8__model_bin_001.txt,9236,9236,76,951,34081,53234,0.0,99.17713295799048,-1151.3157894736842,-3483.701366982124,-56.198468354801804,-476.3750541359896
sky130_fd_pr__pfet_01v8__model_bin_002.txt,9236,9236,76,951,34081,53234,0.0,99.17713295799048,-1151.3157894736842,-3483.701366982124,-56.198468354801804,-476.3750541359896
sky130_fd_pr__pfet_01v8__model_bin_003.txt,9236,9236,76,951,34081,53234,0.0,99.17713295799048,-1151.3157894736842,-3483.701366982124,-56.198468354801804,-476.3750541359896
sky130_fd_pr__pfet_01v8__model_bin_004.txt,9236,9236,76,951,34081,53234,0.0,99.17713295799048,-1151.3157894736842,-3483.701366982124,-56.198468354801804,-476.3750541359896
sky130_fd_pr__pfet_01v8__model_bin_005.txt,9236,9236,76,951,34081,53234,0.0,99.17713295799048,-1151.3157894736842,-3483.701366982124,-56.198468354801804,-476.3750541359896
sky130_fd_pr__pfet_01v8__model_bin_006.txt,9236,9236,76,951,34081,53234,0.0,99.17713295799048,-1151.3157894736842,-3483.701366982124,-56.198468354801804,-476.3750541359896
sky130_fd_pr__pfet_01v8__model_bin_007.txt,9236,9236,76,951,34081,53234,0.0,99.17713295799048,-1151.3157894736842,-3483.701366982124,-56.198468354801804,-476.3750541359896
sky130_fd_pr__pfet_01v8__model_bin_008.txt,9236,9236,76,951,34081,53234,0.0,99.17713295799048,-1151.3157894736842,-3483.701366982124,-56.198468354801804,-476.3750541359896
sky130_fd_pr__pfet_01v8__model_bin_009.txt,9236,9236,76,951,34081,53234,0.0,99.17713295799048,-1151.3157894736842,-3483.701366982124,-56.198468354801804,-476.3750541359896
