bin,output_file,parameters_written,keys_missing_in_bin,non_numeric_values
0,sky130_fd_pr__pfet_01v8__model_bin_000.txt,210,0,0
1,sky130_fd_pr__pfet_01v8__model_bin_001.txt,210,0,0
2,sky130_fd_pr__pfet_01v8__model_bin_002.txt,210,0,0
3,sky130_fd_pr__pfet_01v8__model_bin_003.txt,210,0,0
4,sky130_fd_pr__pfet_01v8__model_bin_004.txt,210,0,0
5,sky130_fd_pr__pfet_01v8__model_bin_005.txt,210,0,0
6,sky130_fd_pr__pfet_01v8__model_bin_006.txt,210,0,0
7,sky130_fd_pr__pfet_01v8__model_bin_007.txt,210,0,0
8,sky130_fd_pr__pfet_01v8__model_bin_008.txt,210,0,0
9,sky130_fd_pr__pfet_01v8__model_bin_009.txt,210,0,0
10,sky130_fd_pr__pfet_01v8__model_bin_010.txt,210,0,0
11,sky130_fd_pr__pfet_01v8__model_bin_011.txt,210,0,0
12,sky130_fd_pr__pfet_01v8__model_bin_012.txt,210,0,0
13,sky130_fd_pr__pfet_01v8__model_bin_013.txt,210,0,0
14,sky130_fd_pr__pfet_01v8__model_bin_014.txt,210,0,0
15,sky130_fd_pr__pfet_01v8__model_bin_015.txt,210,0,0
16,sky130_fd_pr__pfet_01v8__model_bin_016.txt,210,0,0
17,sky130_fd_pr__pfet_01v8__model_bin_017.txt,210,0,0
18,sky130_fd_pr__pfet_01v8__model_bin_018.txt,210,0,0
19,sky130_fd_pr__pfet_01v8__model_bin_019.txt,210,0,0
20,sky130_fd_pr__pfet_01v8__model_bin_020.txt,210,0,0
21,sky130_fd_pr__pfet_01v8__model_bin_021.txt,210,0,0
22,sky130_fd_pr__pfet_01v8__model_bin_022.txt,210,0,0
23,sky130_fd_pr__pfet_01v8__model_bin_023.txt,210,0,0
24,sky130_fd_pr__pfet_01v8__model_bin_024.txt,210,0,0
25,sky130_fd_pr__pfet_01v8__model_bin_025.txt,210,0,0
26,sky130_fd_pr__pfet_01v8__model_bin_026.txt,210,0,0
27,sky130_fd_pr__pfet_01v8__model_bin_027.txt,210,0,0
28,sky130_fd_pr__pfet_01v8__model_bin_028.txt,210,0,0
29,sky130_fd_pr__pfet_01v8__model_bin_029.txt,210,0,0
30,sky130_fd_pr__pfet_01v8__model_bin_030.txt,210,0,0
31,sky130_fd_pr__pfet_01v8__model_bin_031.txt,210,0,0
32,sky130_fd_pr__pfet_01v8__model_bin_032.txt,210,0,0
33,sky130_fd_pr__pfet_01v8__model_bin_033.txt,210,0,0
34,sky130_fd_pr__pfet_01v8__model_bin_034.txt,210,0,0
35,sky130_fd_pr__pfet_01v8__model_bin_035.txt,210,0,0
36,sky130_fd_pr__pfet_01v8__model_bin_036.txt,210,0,0
37,sky130_fd_pr__pfet_01v8__model_bin_037.txt,210,0,0
38,sky130_fd_pr__pfet_01v8__model_bin_038.txt,210,0,0
39,sky130_fd_pr__pfet_01v8__model_bin_039.txt,210,0,0
40,sky130_fd_pr__pfet_01v8__model_bin_040.txt,210,0,0
41,sky130_fd_pr__pfet_01v8__model_bin_041.txt,210,0,0
42,sky130_fd_pr__pfet_01v8__model_bin_042.txt,210,0,0
43,sky130_fd_pr__pfet_01v8__model_bin_043.txt,210,0,0
44,sky130_fd_pr__pfet_01v8__model_bin_044.txt,210,0,0
45,sky130_fd_pr__pfet_01v8__model_bin_045.txt,210,0,0
46,sky130_fd_pr__pfet_01v8__model_bin_046.txt,210,0,0
47,sky130_fd_pr__pfet_01v8__model_bin_047.txt,210,0,0
48,sky130_fd_pr__pfet_01v8__model_bin_048.txt,210,0,0
49,sky130_fd_pr__pfet_01v8__model_bin_049.txt,210,0,0
50,sky130_fd_pr__pfet_01v8__model_bin_050.txt,210,0,0
51,sky130_fd_pr__pfet_01v8__model_bin_051.txt,210,0,0
52,sky130_fd_pr__pfet_01v8__model_bin_052.txt,210,0,0
53,sky130_fd_pr__pfet_01v8__model_bin_053.txt,210,0,0
54,sky130_fd_pr__pfet_01v8__model_bin_054.txt,210,0,0
55,sky130_fd_pr__pfet_01v8__model_bin_055.txt,210,0,0
56,sky130_fd_pr__pfet_01v8__model_bin_056.txt,210,0,0
57,sky130_fd_pr__pfet_01v8__model_bin_057.txt,210,0,0
58,sky130_fd_pr__pfet_01v8__model_bin_058.txt,210,0,0
59,sky130_fd_pr__pfet_01v8__model_bin_059.txt,210,0,0
60,sky130_fd_pr__pfet_01v8__model_bin_060.txt,210,0,0
61,sky130_fd_pr__pfet_01v8__model_bin_061.txt,210,0,0
62,sky130_fd_pr__pfet_01v8__model_bin_062.txt,210,0,0
63,sky130_fd_pr__pfet_01v8__model_bin_063.txt,210,0,0
64,sky130_fd_pr__pfet_01v8__model_bin_064.txt,210,0,0
65,sky130_fd_pr__pfet_01v8__model_bin_065.txt,210,0,0
66,sky130_fd_pr__pfet_01v8__model_bin_066.txt,210,0,0
67,sky130_fd_pr__pfet_01v8__model_bin_067.txt,210,0,0
68,sky130_fd_pr__pfet_01v8__model_bin_068.txt,210,0,0
69,sky130_fd_pr__pfet_01v8__model_bin_069.txt,210,0,0
70,sky130_fd_pr__pfet_01v8__model_bin_070.txt,210,0,0
71,sky130_fd_pr__pfet_01v8__model_bin_071.txt,210,0,0
72,sky130_fd_pr__pfet_01v8__model_bin_072.txt,210,0,0
73,sky130_fd_pr__pfet_01v8__model_bin_073.txt,210,0,0
74,sky130_fd_pr__pfet_01v8__model_bin_074.txt,210,0,0
75,sky130_fd_pr__pfet_01v8__model_bin_075.txt,210,0,0
76,sky130_fd_pr__pfet_01v8__model_bin_076.txt,210,0,0
77,sky130_fd_pr__pfet_01v8__model_bin_077.txt,210,0,0
78,sky130_fd_pr__pfet_01v8__model_bin_078.txt,210,0,0
79,sky130_fd_pr__pfet_01v8__model_bin_079.txt,210,0,0
80,sky130_fd_pr__pfet_01v8__model_bin_080.txt,210,0,0
81,sky130_fd_pr__pfet_01v8__model_bin_081.txt,210,0,0
82,sky130_fd_pr__pfet_01v8__model_bin_082.txt,210,0,0
83,sky130_fd_pr__pfet_01v8__model_bin_083.txt,210,0,0
84,sky130_fd_pr__pfet_01v8__model_bin_084.txt,210,0,0
85,sky130_fd_pr__pfet_01v8__model_bin_085.txt,210,0,0
86,sky130_fd_pr__pfet_01v8__model_bin_086.txt,210,0,0
87,sky130_fd_pr__pfet_01v8__model_bin_087.txt,210,0,0
88,sky130_fd_pr__pfet_01v8__model_bin_088.txt,210,0,0
89,sky130_fd_pr__pfet_01v8__model_bin_089.txt,210,0,0
90,sky130_fd_pr__pfet_01v8__model_bin_090.txt,210,0,0
91,sky130_fd_pr__pfet_01v8__model_bin_091.txt,210,0,0
